DRÖNA	Living room	Box	$3.99	41352 [GENERICPRODUCT]	5	blue	https://ikea.com/PIAimages/0386604_PE558361_S5.JPG
DRÖNA	Living room	Box	$3.99	40551 [GENERICPRODUCT]	4.9	red	https://ikea.com/PIAimages/0171824_PE325986_S5.JPG
NOCKEBY	Living room	Sofa	$799.00	30028 [GENERICPRODUCT]	3.8	Tallmyra white/black	https://ikea.com/PIAimages/0389184_PE559360_S5.JPG
						Tallmyra rust	https://ikea.com/PIAimages/0405379_PE582586_S5.JPG
LIDHULT	Living room	Sectional, 4-seat	$2,899.00	42775 [GENERICPRODUCT]	N/A	with chaise	https://ikea.com/PIAimages/0620227_PE689538_S5.JPG
LANDSKRONA	Living room	Sectional, 5-seat corner	$1,399.00	42163 [GENERICPRODUCT]	N/A	Gunnared dark gray/wood	https://ikea.com/PIAimages/0602462_PE680373_S5.JPG
						Gunnared light green/wood	https://ikea.com/PIAimages/0602471_PE680377_S5.JPG
						Gunnared dark gray/metal	https://ikea.com/PIAimages/0602460_PE680371_S5.JPG
						Gunnared light green/metal	https://ikea.com/PIAimages/0602464_PE680375_S5.JPG
SÖDERHAMN	Living room	Sectional, 5-seat	$1,298.00	22201 [GENERICPRODUCT]	N/A	Samsta light pink	https://ikea.com/PIAimages/0474759_PE615192_S5.JPG
						Finnsta turquoise	https://ikea.com/PIAimages/0474757_PE615193_S5.JPG
						Finnsta white	https://ikea.com/PIAimages/0474758_PE615194_S5.JPG
						Samsta dark gray	https://ikea.com/PIAimages/0153975_PE312375_S5.JPG
VIMLE	Living room	Sectional, 6 seat	$2,114.00	38157 [GENERICPRODUCT]	N/A	with open end	https://ikea.com/PIAimages/0570255_PE666213_S5.JPG
GENEVAD	Living room	Sofa	$1,299.00	P70398619 [GENERICPRODUCT]	N/A	Garlinge dark brown	https://ikea.com/PIAimages/0661559_PE711544_S5.JPG
FÄRLÖV	Living room	Sectional,5 seat/sofa right	$1,799.00	37638 [GENERICPRODUCT]	4.2	Djuparp dark gray	https://ikea.com/PIAimages/0479726_PE619089_S5.JPG
						Djuparp yellow-beige	https://ikea.com/PIAimages/0560372_PE662309_S5.JPG
						Flodafors beige	https://ikea.com/PIAimages/0479727_PE619086_S5.JPG
						Flodafors white	https://ikea.com/PIAimages/0479728_PE619090_S5.JPG
GRÖNLID	Living room	Sofa	$699.00	41219 [GENERICPRODUCT]	4.3	Sporda natural	https://ikea.com/PIAimages/0577300_PE668755_S5.JPG
						Ljungen dark red	https://ikea.com/PIAimages/0577251_PE668718_S5.JPG
						Sporda dark gray	https://ikea.com/PIAimages/0577289_PE668745_S5.JPG
						Ljungen medium gray	https://ikea.com/PIAimages/0577278_PE668739_S5.JPG
						Ljungen light green	https://ikea.com/PIAimages/0577264_PE668724_S5.JPG
						Inseros white	https://ikea.com/PIAimages/0577220_PE668688_S5.JPG
VALLENTUNA	Living room	Mod sofa, 4 seat w 3 slpr sections	$2,410.00	43272 [GENERICPRODUCT]	N/A	and storage	https://ikea.com/PIAimages/0624178_PE691694_S5.JPG
BRÅTHULT	Living room	Sofa	$299.00	39733 [GENERICPRODUCT]	1	Borred gray-green	https://ikea.com/PIAimages/0524913_PE644639_S5.JPG
						Vissle red/orange	https://ikea.com/PIAimages/0524916_PE644642_S5.JPG
HEMNES	Living room	Side table	$99.00	17933 [GENERICPRODUCT]	3.8	dark gray gray stained	https://ikea.com/PIAimages/0519837_PE641799_S5.JPG
HEMNES	Living room	Coffee table	$149.00	17931 [GENERICPRODUCT]	4.3	black-brown	https://ikea.com/PIAimages/0104030_PE250678_S5.JPG
						dark gray gray stained	https://ikea.com/PIAimages/0524635_PE644430_S5.JPG
						light brown	https://ikea.com/PIAimages/0255104_PE399040_S5.JPG
						white stain white	https://ikea.com/PIAimages/0104031_PE250679_S5.JPG
HEMNES	Living room	Coffee table	$149.00	17932 [GENERICPRODUCT]	4.4	black-brown	https://ikea.com/PIAimages/0452416_PE601368_S5.JPG
						dark gray gray stained	https://ikea.com/PIAimages/0524630_PE644423_S5.JPG
						light brown	https://ikea.com/PIAimages/0452441_PE601393_S5.JPG
						white stain white	https://ikea.com/PIAimages/0452404_PE601357_S5.JPG
						white stain	https://ikea.com/PIAimages/0583407_PE671195_S5.JPG
TRULSTORP	Living room	Coffee table	$99.00	27791 [GENERICPRODUCT]	4.1	white	https://ikea.com/PIAimages/0269819_PE408042_S5.JPG
						black-brown	https://ikea.com/PIAimages/0269816_PE417041_S5.JPG
VEJMON	Living room	Side table	$79.99	15010 [GENERICPRODUCT]	4.6	black-brown	https://ikea.com/PIAimages/0452474_PE601426_S5.JPG
						brown	https://ikea.com/PIAimages/0491446_PE625053_S5.JPG
						white	https://ikea.com/PIAimages/0307393_PE427561_S5.JPG
VEJMON	Living room	Coffee table	$99.00	15009 [GENERICPRODUCT]	4.4	black-brown	https://ikea.com/PIAimages/0452417_PE601369_S5.JPG
						brown	https://ikea.com/PIAimages/0504789_PE633535_S5.JPG
						white	https://ikea.com/PIAimages/0307444_PE427864_S5.JPG
VEJMON	Living room	Coffee table	$129.00	15008 [GENERICPRODUCT]	4.5	brown	https://ikea.com/PIAimages/0467208_PE610787_S5.JPG
						black-brown	https://ikea.com/PIAimages/0089488_PE221829_S5.JPG
						white	https://ikea.com/PIAimages/0480276_PE618846_S5.JPG
VITTSJÖ	Living room	Coffee table	$49.99	22603 [GENERICPRODUCT]	4.4	black-brown	https://ikea.com/PIAimages/0452435_PE601386_S5.JPG
VITTSJÖ	Living room	Nesting tables, set of 2	$69.99	22605 [GENERICPRODUCT]	4.7	black-brown	https://ikea.com/PIAimages/0452431_PE601384_S5.JPG
STOCKHOLM	Living room	Coffee table	$249.00	23991 [GENERICPRODUCT]	4.6	walnut veneer	https://ikea.com/PIAimages/0452415_PE601366_S5.JPG
